Running 3D simulation for density = 0.8
LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 1.7099759 1.7099759 1.7099759
Created orthogonal box = (0 0 0) to (13.679808 13.679808 13.679808)
  1 by 1 by 1 MPI processor grid
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (13.679808 13.679808 13.679808)
  create_atoms CPU = 0.000 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 22 22 22
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.184 | 3.184 | 3.184 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     33700   3.0131175      0.94781449     0              5.4652838      12.037129    
     33800   2.9677335      0.98525187     0              5.4346785      12.439869    
     33900   2.988507       0.96130947     0              5.4418811      12.352593    
     34000   3.0207471      0.97383205     0              5.5027403      12.325558    
     34100   3.051576       0.99017399     0              5.565303       12.6194      
     34200   2.9772642      0.9844071      0              5.4481228      12.491473    
     34300   2.9071689      0.97324462     0              5.3318687      12.268824    
     34400   2.9754961      0.94904163     0              5.4101065      12.188147    
     34500   3.0862157      0.91905089     0              5.546114       12.023083    
     34600   3.0291962      0.97805624     0              5.5196318      12.359018    
     34700   2.9745655      0.99200903     0              5.4516786      12.456369    
     34800   3.0194934      0.89060764     0              5.4176362      11.702347    
     34900   3.002194       0.88823911     0              5.3893313      11.823919    
     35000   2.9426657      1.0014015      0              5.4132448      12.584768    
     35100   3.05412        0.99154625     0              5.5704894      12.515922    
     35200   3.0860409      0.95959921     0              5.5864002      12.312809    
     35300   2.9707821      0.94586561     0              5.3998628      12.107145    
     35400   2.9586903      0.92709002     0              5.3629585      12.111847    
     35500   2.9697511      0.98000805     0              5.4324595      12.278844    
     35600   3.0515747      0.91177202     0              5.4868991      11.801377    
     35700   3.0132967      0.91950672     0              5.4372447      11.930637    
     35800   2.9279818      0.86738819     0              5.2572164      11.491934    
     35900   2.9312956      0.92539086     0              5.3201873      11.85605     
     36000   3.0281549      0.94199599     0              5.4820104      12.198925    
     36100   3.0421544      0.93394747     0              5.4949509      12.16776     
     36200   2.9463709      1.0003978      0              5.4177961      12.57723     
     36300   2.914924       0.93620583     0              5.3064569      12.03499     
     36400   2.9001657      0.90127496     0              5.2493994      11.904464    
     36500   2.9660453      1.0200643      0              5.4669599      12.805778    
     36600   3.0871775      0.90456293     0              5.5330681      11.894306    
     36700   2.9763264      0.99199689     0              5.4543066      12.462625    
     36800   2.9259081      0.96914144     0              5.3558607      12.273317    
     36900   2.9631686      0.89719151     0              5.3397741      11.847079    
     37000   3.0464064      0.95430318     0              5.5216816      12.127475    
     37100   3.070338       0.97640126     0              5.5796594      12.358262    
     37200   2.9942833      0.9352328      0              5.4244646      12.114986    
     37300   2.9010782      1.0008388      0              5.3503312      12.4579      
     37400   3.0045526      0.90953016     0              5.4141585      11.875967    
     37500   2.9803129      1.0285397      0              5.4968262      12.959291    
     37600   3.0399331      0.96527381     0              5.5229469      12.258577    
     37700   2.9957915      0.99062923     0              5.4821222      12.498049    
     37800   3.0030102      0.93513203     0              5.4374478      12.009259    
     37900   2.9797889      0.92738071     0              5.3948815      11.964428    
     38000   2.9721664      0.96375194     0              5.4198246      12.180236    
     38100   3.0103423      1.0346713      0              5.5479798      12.866871    
     38200   3.0315923      1.0311092      0              5.5762773      12.891218    
     38300   2.9820026      0.92816126     0              5.398981       12.073629    
     38400   2.9204062      0.97679951     0              5.3552698      12.316791    
     38500   2.9710845      0.97358767     0              5.4280384      12.421066    
     38600   3.0075763      0.96944658     0              5.4786082      12.263907    
     38700   2.9550848      1.0622773      0              5.4927402      12.879701    
     38800   2.9925418      0.98694417     0              5.473565       12.346318    
     38900   3.0077127      0.9279138      0              5.43728        11.958467    
